stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
f8575c,,Viaducto,,19.4013539708559,-99.16814444643246,,,0,,,0,,
f8575d,,Moctezuma L4,,19.42690637624361,-99.11189050214648,,,0,,,0,,
f8575e,,Glorieta de Violeta,,19.44153753371875,-99.14223668378563,,,0,,,0,,
f8575f,,Colegio de Bachilleres 1,,19.5115585384633,-99.19729620587957,,,0,,,0,,
f85760,,San Lázaro Sur L5,,19.43037834048882,-99.11533134204778,,,0,,,0,,
f85762,,Leyes de Reforma,,19.38342985116283,-99.06579952074638,,,0,,,0,,
f85763,,Ferrocarril de Cintura,,19.436091134535975,-99.12146595493044,,,0,,,0,,
f85765,,Vasco de Quiroga,,19.49335572058847,-99.09200459718706,,,0,,,0,,
f85766,,Las Cruces,,19.42610178812354,-99.12963356957754,,,0,,,0,,
f85768,,Las Bombas,,19.31175208539649,-99.11071672556673,,,0,,,0,,
f85769,,Garibaldi.,,19.44373494066624,-99.13915836325555,,,0,,,0,,
f8576a,,Antropología.,,19.42460986932729,-99.1855224967003,,,0,,,0,,
f8576b,,La Virgen,,19.32056281851342,-99.11351641089671,,,0,,,0,,
f8576d,,Alameda Ote,,19.43076917615918,-99.05329763889314,,,0,,,0,,
f8576e,,Garrido,,19.48334381404806,-99.11930974316489,,,0,,,0,,
f8576f,,Poniente 134,,19.49270303566563,-99.15314945910443,,,0,,,0,,
f85770,,Terminal 1 AICM,,19.43555227960734,-99.08328205347063,,,0,,,0,,
f85771,,Teatro del Pueblo.,,19.43684268841996,-99.12721494676526,,,0,,,0,,
f85772,,Norte 45,,19.49643830173505,-99.1599112622329,,,0,,,0,,
f85773,,Aculco,,19.37487468473131,-99.10816130932012,,,0,,,0,,
f85774,,República de Chile,,19.43794145112122,-99.13556854983581,,,0,,,0,,
f85775,,Chapultepec.,,19.4237622753023,-99.1743357238685,,,0,,,0,,
f85776,,Gustavo A. Madero L6,,19.48381020629003,-99.11221179986907,,,0,,,0,,
f85778,,Hospital General La Villa,,19.48028459853183,-99.10118809388028,,,0,,,0,,
f85779,,Coyuya,,19.39825356928997,-99.11670793250475,,,0,,,0,,
f8577a,,Vocacional 5,,19.4315880176397,-99.15016276518435,,,0,,,0,,
f8577b,,482.,,19.46688044841875,-99.07562037747935,,,0,,,0,,
f8577c,,Mixcalco,,19.43642638880353,-99.12409129051193,,,0,,,0,,
f8577d,,Etiopía L2,,19.39580386172431,-99.15484310065293,,,0,,,0,,
f8577e,,Archivo General de la Nación L4.,,19.43547916718309,-99.11509750270481,,,0,,,0,,
f8577f,,Pino Suárez,,19.42647976879665,-99.13265135925384,,,0,,,0,,
f85780,,El Ángel,,19.42662910664687,-99.16865225057253,,,0,,,0,,
f85781,,Deportivo Eduardo Molina,,19.444703775537683,-99.11214477680835,,,0,,,0,,
f85782,,Álamos,,19.39472362659874,-99.14292840265595,,,0,,,0,,
f85783,,Campo Marte,,19.427038112725555,-99.19942208052352,,,0,,,0,,
f85784,,Peralvillo,,19.45374215771039,-99.13062880709771,,,0,,,0,,
f85785,,El Caballito,,19.43598752723021,-99.14911712743891,,,0,,,0,,
f85786,,La Pradera,,19.47309234223951,-99.06868963967442,,,0,,,0,,
f85787,,Necaxa,,19.4755833535742,-99.1222281914489,,,0,,,0,,
f85788,,Plaza de la República L4,,19.43676089227536,-99.15416343718616,,,0,,,0,,
f85789,,Gran Canal,,19.47699305175776,-99.0927986205793,,,0,,,0,,
f8578a,,Hidalgo L7.,,19.43665972711099,-99.14755218639137,,,0,,,0,,
f8578b,,Hamburgo L7.,,19.42923702484668,-99.16269389025892,,,0,,,0,,
f8578c,,Ganaderos,,19.35057740493938,-99.11106779038316,,,0,,,0,,
f8578d,,Teatro Blanquita.,,19.43866066882829,-99.14010855045186,,,0,,,0,,
f8578e,,Antonio Maceo.,,19.40488867552865,-99.18588057278963,,,0,,,0,,
f8578f,,Hospital Infantil La Villa L7,,19.487251676336573,-99.11379524856724,,,0,,,0,,
f85790,,Reforma L7.,,19.43113379119255,-99.15854807887996,,,0,,,0,,
f85791,,Canal de San Juan.,,19.39670924431783,-99.05653241568166,,,0,,,0,,
f85792,,Garrido.,,19.48336571577664,-99.11927156786729,,,0,,,0,,
f85793,,Glorieta de Colón L7,,19.43340340464894,-99.15432247440754,,,0,,,0,,
f85794,,Río de los Remedios,,19.507095255392926,-99.08594052810977,,,0,,,0,,
f85795,,Misterios,,19.46252558654364,-99.12715567292256,,,0,,,0,,
f85796,,Victoria,,19.46745710792942,-99.10291850566865,,,0,,,0,,
f85797,,Río Consulado,,19.45360728942292,-99.10859712211516,,,0,,,0,,
f85798,,Isabel la Católica.,,19.42969438643439,-99.13658298116319,,,0,,,0,,
f85799,,Tecnoparque,,19.50247870799058,-99.1789631534656,,,0,,,0,,
f8579a,,Recreo,,19.39379643116733,-99.11373331370532,,,0,,,0,,
f8579b,,Instituto del Petróleo,,19.493120426408,-99.14518007013932,,,0,,,0,,
f8579c,,San Lázaro Norte L5,,19.43121594141721,-99.11515242426117,,,0,,,0,,
f8579d,,De los Misterios L6,,19.48709536774331,-99.11798604802378,,,0,,,0,,
f8579f,,Rojo Gómez,,19.38448509710503,-99.07638129244677,,,0,,,0,,
f857a0,,Excélsior.,,19.47087054033968,-99.12393727991548,,,0,,,0,,
f857a1,,Poniente 146,,19.50003918814673,-99.15585362780902,,,0,,,0,,
f857a2,,Peralvillo.,,19.45272415998285,-99.13100686806469,,,0,,,0,,
f857a3,,Museo de la Ciudad,,19.42908847279102,-99.13272327093695,,,0,,,0,,
f857a4,,El Ángel.,,19.42645981755745,-99.16856450980642,,,0,,,0,,
f857a5,,Venustiano Carranza,,19.41872745676672,-99.11214699343756,,,0,,,0,,
f857a6,,Mercados de San Juan,,19.43081012718926,-99.14485271341727,,,0,,,0,,
f857a7,,Campo Marte.,,19.42667137087778,-99.19942824908911,,,0,,,0,,
f857a8,,Juárez L4,,19.43131325113527,-99.14829795870675,,,0,,,0,,
f857a9,,Magdalena de las Salinas,,19.48395379228881,-99.14983671861985,,,0,,,0,,
f857aa,,Del Moral.,,19.38419192549233,-99.07091038657421,,,0,,,0,,
f857ab,,Necaxa.,,19.47558421514649,-99.12220387458328,,,0,,,0,,
f857ac,,Plaza de la República L4.,,19.43774043603285,-99.15372851855605,,,0,,,0,,
f857ad,,El Coyol,,19.487631173893107,-99.09437566995624,,,0,,,0,,
f857b0,,Moctezuma L5,,19.42576400502085,-99.11138950983884,,,0,,,0,,
f857b1,,Xola,,19.39431958195676,-99.1401695213952,,,0,,,0,,
f857b2,,Tacubaya,,19.401935753664333,-99.18702244952318,,,0,,,0,,
f857b3,,Gustavo A. Madero L7.,,19.48365291144993,-99.11387753581162,,,0,,,0,,
f857b4,,Tlacotal,,19.39719954556777,-99.10394772701466,,,0,,,0,,
f857b5,,Calle 6,,19.42111460450559,-99.05823243898395,,,0,,,0,,
f857b6,,Cecilio Robelo,,19.42521243215105,-99.11983707591222,,,0,,,0,,
f857b7,,México Tenochtitlan,,19.438900717911,-99.15328501597787,,,0,,,0,,
f857b8,,Pueblo de San Juan de Aragón,,19.47106893633869,-99.0864483538664,,,0,,,0,,
f857b9,,Teatro del Pueblo,,19.43690623745032,-99.1280425433411,,,0,,,0,,
f857ba,,Muyuguarda,,19.28500560533537,-99.1155517101288,,,0,,,0,,
f857bb,,Escuadrón 201,,19.366043065031867,-99.10920292139055,,,0,,,0,,
f857bc,,Isabel la Católica,,19.4296932240978,-99.13697212746823,,,0,,,0,,
f857bd,,Patriotismo,,19.40555150458669,-99.17743889458272,,,0,,,0,,
f857be,,Metro Coyuya L2,,19.398353680213262,-99.11316722631456,,,0,,,0,,
f857c0,,República de Argentina.,,19.43741414300866,-99.13148919519912,,,0,,,0,,
f857c1,,De los Misterios L7,,19.487148293692538,-99.11790728223045,,,0,,,0,,
f857c2,,Doctor Vértiz,,19.39558311097358,-99.15169123419294,,,0,,,0,,
f857c3,,Terminal 2 AICM,,19.42075,-99.07834,,,0,,,0,,
f857c4,,Robles Domínguez,,19.468559433136587,-99.12507562024805,,,0,,,0,,
f857c5,,París,,19.43256639378335,-99.15611023333271,,,0,,,0,,
f857c7,,Instituto Politécnico Nacional,,19.49039966973826,-99.13270661839263,,,0,,,0,,
f857c8,,Nuevo León L2,,19.40346918952325,-99.17036784567404,,,0,,,0,,
f857c9,,Barrio San Antonio,,19.34306244864715,-99.11244034767152,,,0,,,0,,
f857cb,,El Rosario,,19.507206060826725,-99.1995370388031,,,0,,,0,,
f857cc,,Júpiter,,19.50869086278045,-99.15921429944574,,,0,,,0,,
f857cd,,Lindavista - Vallejo,,19.49383965743074,-99.14814729049552,,,0,,,0,,
f857ce,,416 Oriente.,,19.47106083272982,-99.07092862579692,,,0,,,0,,
f857cf,,Dep. 18 Mzo. L6,,19.486493320266753,-99.12228405475616,,,0,,,0,,
f857d1,,Preparatoria 3,,19.48363851494554,-99.09617718028105,,,0,,,0,,
f857d2,,Oriente 101,,19.460945137833363,-99.10565972328186,,,0,,,0,,
f857d3,,Amores,,19.3969008833724,-99.1637764718804,,,0,,,0,,
f857d4,,Ermita-Iztapalapa,,19.35669502918896,-99.11128372286947,,,0,,,0,,
f857d5,,Eje Central.,,19.430260767084228,-99.14080471340098,,,0,,,0,,
f857d6,,Parque Lira,,19.40779267114004,-99.18911880979248,,,0,,,0,,
f857d7,,Manuela Sáenz,,19.324219522471914,-99.11397457122804,,,0,,,0,,
f857d8,,San Lázaro L4 Pte,,19.43060283632745,-99.11549329993498,,,0,,,0,,
f857d9,,Villa de Aragón,,19.46495633358672,-99.0596044614896,,,0,,,0,,
f857da,,Preparatoria 1,,19.273470758768216,-99.12054598331451,,,0,,,0,,
f857dc,,El Rodeo,,19.39164014341617,-99.08710117144095,,,0,,,0,,
f857dd,,Misterios.,,19.46098810763295,-99.12770396840664,,,0,,,0,,
f857de,,República de Argentina,,19.43739936247409,-99.13164238551471,,,0,,,0,,
f857df,,Canela,,19.39782631717387,-99.10943817787135,,,0,,,0,,
f857e0,,El Salvador,,19.429912154556657,-99.13856771740578,,,0,,,0,,
f857e1,,Gandhi,,19.42407365689417,-99.1800952806228,,,0,,,0,,
f857e2,,Metro Coyuya L5,,19.39955868276431,-99.11365193102631,,,0,,,0,,
f857e3,,Cuitláhuac,,19.47420383618805,-99.14615863546969,,,0,,,0,,
f857e4,,Coltongo,,19.47991934094695,-99.14835017820151,,,0,,,0,,
f857e5,,DIF Xochimilco,,19.276926740734268,-99.1183975338936,,,0,,,0,,
f857e6,,Poniente 128,,19.48948505456544,-99.15188617177483,,,0,,,0,,
f857e7,,Deportivo los Galeana,,19.4786245680706,-99.07798975266768,,,0,,,0,,
f857ed,,Oriente 116,,19.39016053867788,-99.11274787355202,,,0,,,0,,
f857ee,,Glorieta de Violeta.,,19.43967849572631,-99.14393385827869,,,0,,,0,,
f857ef,,Iztacalco,,19.39651781414634,-99.0959403573965,,,0,,,0,,
f857f0,,Vocacional 5.,,19.43175716266821,-99.15105388991816,,,0,,,0,,
f857f1,,414.,,19.46836192099835,-99.07161503265114,,,0,,,0,,
f857f2,,Mercado Sonora,,19.42321416268457,-99.12359545456292,,,0,,,0,,
f857f3,,Montevideo L3,,19.49615621230987,-99.15441578090893,,,0,,,0,,
f857f4,,Hospital Infantil La Villa L6,,19.48805527433594,-99.11475284998424,,,0,,,0,,
f857f6,,Pueblo de los Reyes,,19.348045526479225,-99.11132454872133,,,0,,,0,,
f857f8,,Ferrocarriles Nacionales,,19.50487858685309,-99.18879344579429,,,0,,,0,,
f857f9,,Riobamba,,19.48863235378676,-99.127932685765,,,0,,,0,,
f857fa,,Const. de Apatzingán,,19.3890344498816,-99.05981096041994,,,0,,,0,,
f857fb,,Indios Verdes L7,,19.493247049086236,-99.1209780575117,,,0,,,0,,
f857fc,,México Tenochtitlan.,,19.43967077613262,-99.15299501617082,,,0,,,0,,
f857fd,,Casas Alemán,,19.47422035185774,-99.0883446948742,,,0,,,0,,
f857fe,,Hidalgo L4.,,19.43733106081757,-99.14617726339026,,,0,,,0,,
f857ff,,Apatlaco,,19.37802935588254,-99.10916805267334,,,0,,,0,,
f85800,,Garibaldi,,19.44423650585254,-99.13961973294639,,,0,,,0,,
f85801,,Gandhi.,,19.42393323720598,-99.18072750071761,,,0,,,0,,
f85802,,Mercado Morelos,,19.441292787698163,-99.11342153420173,,,0,,,0,,
f85803,,París.,,19.43249596572874,-99.15578123429812,,,0,,,0,,
f85804,,Morelos.,,19.43583593720632,-99.11856710693506,,,0,,,0,,
f85805,,Buenavista L3 Sur,,19.445757954690002,-99.15214240550996,,,0,,,0,,
f85806,,416 Poniente,,19.4724713707306,-99.0794027464215,,,0,,,0,,
f85807,,Robles Domínguez.,,19.46701461200295,-99.1254319976437,,,0,,,0,,
f85808,,San Juan de Aragón L5,,19.479921017407523,-99.09782553800144,,,0,,,0,,
f85809,,Las Américas,,19.39341912299042,-99.13427728280912,,,0,,,0,,
f8580a,,La Diana,,19.4255894802327,-99.1709642675253,,,0,,,0,,
f8580b,,Avenida del Taller,,19.41259082641491,-99.11279134212441,,,0,,,0,,
f8580d,,Archivo General de la Nación L5,,19.437191903990865,-99.11438715802898,,,0,,,0,,
f8580e,,El Caballito.,,19.43510387143595,-99.15023892127793,,,0,,,0,,
f8580f,,Volcán de Fuego,,19.47707526470618,-99.07262158696162,,,0,,,0,,
f85810,,Mixcalco.,,19.43639173059286,-99.12368444493966,,,0,,,0,,
f85812,,Andrés Molina Enríquez,,19.39763143662469,-99.12970792326716,,,0,,,0,,
f85813,,Norte 59,,19.49761176458131,-99.16563234198806,,,0,,,0,,
f85814,,Colegio de Bachilleres 3,,19.386335993431675,-99.11176174879076,,,0,,,0,,
f85815,,Bellas Artes,,19.43638320537854,-99.1415580819565,,,0,,,0,,
f85816,,De Las Culturas,,19.51087684218516,-99.19268009410874,,,0,,,0,,
f85817,,Hidalgo L4,,19.43725999377647,-99.14587088408867,,,0,,,0,,
f85818,,CCH Oriente,,19.38333134036536,-99.06074842216212,,,0,,,0,,
f85819,,Ferrocarril de Cintura.,,19.43609460222703,-99.12101701347626,,,0,,,0,,
f8581b,,314 Memorial New's Divine,,19.5005350197038,-99.08907551069252,,,0,,,0,,
